,gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
16491,00-0031562,Owa Odighizuwa,Owa,Owamagbe,Odighizuwa,O.Odighizuwa,Owa,,ODI237308,42417.0,OdigOw00,9507.0,3922.0,2510866.0,32004f44-4923-7308-b985-7c9a5b76e966,1992-04-01,DL,DE,,,75.0,270.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdn4bjv0snc69mkutelc",UCLA,,58.0,2015,2016,NYG,ACT,CUT,,2,ED,,2015.0,3.0,74.0,NYG
16494,00-0012306,Cliff Odom,Cliff,Clifton,Odom,,,,ODO063891,,OdomCl20,,,6726.0,32004f44-4f06-3891-a3a1-4dbf7d6de760,1958-08-15,LB,LB,,,74.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zo3nufo8hzcsetle8u17",University of Texas-Arlington,,0.0,1980,1993,MIA,ACT,,,14,,,1980.0,3.0,72.0,CLE
16495,ODO127782,Henry Odom,Henry,Henry,Odom,,,,ODO127782,,OdomHe20,,,,32004f44-4f12-7782-7730-88fe264d079d,1959-02-12,RB,RB,,,70.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvysllhvsuhkafqomvte",South Carolina State,,0.0,1983,1983,PIT,ACT,,,0,,,1983.0,8.0,199.0,PIT
16498,ODO191673,Ricky Odom,Ricky,Ricky,Odom,,,,ODO191673,,OdomRi20,,,,32004f44-4f19-1673-752c-ec6b0fa7e75c,1956-09-16,DB,DB,,,72.0,183.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tdy3k7szajpm4poouxbd",USC,,0.0,1978,1979,LA,ACT,,,2,,,1978.0,7.0,168.0,KC
16499,ODO319455,Steve Odom,Steve,Stephen,Odom,,,,ODO319455,,OdomSt00,,,,32004f44-4f31-9455-6ade-7e929138895a,1952-09-05,WR,WR,,,68.0,173.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b4bivfivf5zgxhlhjagm",Utah,,0.0,1974,1979,NYG,ACT,,,6,,,1974.0,5.0,116.0,GB
16500,00-0012311,Nate Odomes,Nate,Nathaniel,Odomes,,,,ODO383346,,OdomNa00,,,6719.0,32004f44-4f38-3346-a595-18a73ddf3aca,1965-08-25,DB,CB,,,70.0,188.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlywzhx7bbvtmlfu5rhx",Wisconsin,,38.0,1987,1996,ATL,ACT,,,9,,,1987.0,2.0,29.0,BUF
16501,ODO447237,Riley Odoms,Riley,Riley,Odoms,,,,ODO447237,,OdomRi00,,,,32004f44-4f44-7237-e1e0-ab78f168e4b6,1950-03-01,TE,TE,,,76.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xwhfsosc1mj3sa6mzrfg",Houston,,0.0,1974,1983,DEN,ACT,,,12,,,,,,
16506,00-0039919,Rome Odunze,Rome,Rome,Odunze,R.Odunze,Rome,,ODU426541,57130.0,OdunRo00,73774.0,11617.0,4431299.0,32004f44-5542-6541-431c-1a51e8792659,2002-06-03,WR,WR,WR,WR,75.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/niewdl2p2325kpohbw9v",Washington,Pacific Twelve Conference,15.0,2024,2026,CHI,ACT,ACT,Active,3,WR,A,2024.0,1.0,9.0,CHI
16507,00-0012314,John Offerdahl,John,John,Offerdahl,,,,OFF276861,,OffeJo00,,,7182.0,32004f46-4627-6861-2f15-5e3214f40cc5,1964-08-17,LB,MLB,,,75.0,232.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uz1ulv1b4sykv3ykmrxa",Western Michigan,,0.0,1986,1993,MIA,ACT,,,8,,,1986.0,2.0,52.0,MIA
16508,OFF553722,Tony Office,Tony,Anthony,Office,,,,OFF553722,,OffiTo20,,,,32004f46-4655-3722-c20b-49fd82394ee1,1960-02-24,LB,LB,,,74.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/obngw7qemn1xc4i6ijki",Illinois State,,0.0,1987,1987,DET,ACT,,,1,,,,,,
16509,00-0019820,Kendrick Office,Kendrick,Kendrick,Office,,,,OFF564972,,OffiKe20,,,3446.0,32004f46-4656-4972-7a69-32e49cdaee89,1978-08-02,DL,DE,,,77.0,270.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k2gwahpumkwy5hi3wrlk",West Alabama,,77.0,2001,2002,BUF,ACT,,,2,,,,,,
16511,00-0012317,A.J. Ofodile,A.J.,Anselm,Ofodile,,,,OFO148317,,OfodA.00,,,546.0,32004f46-4f14-8317-82d6-e04daede6e45,1973-10-09,TE,TE,,,78.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/elerogdq6erpyqfqx36m",Missouri,,89.0,1994,1999,BAL,ACT,,,3,,,1994.0,5.0,158.0,BUF
16513,00-0012320,Eric Ogbogu,Eric,Eric,Ogbogu,,,,OGB474619,23611.0,OgboEr20,402.0,,1552.0,32004f47-4247-4619-ff18-33f736155aa9,1975-07-18,LB,LB,,,76.0,275.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k9b3a5krl0sacs1n9qyu",Maryland,,90.0,1998,2005,DAL,ACT,,,8,,,1998.0,6.0,163.0,NYJ
16515,00-0027140,Chris Ogbonnaya,Chris,Christopher,Ogbonnaya,,,,OGB488119,34662.0,OgboCh00,5135.0,1988.0,12517.0,32004f47-4248-8119-6dbf-8047d2d88ee4,1986-05-20,RB,RB,,,72.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/asbf4eskpit7fggsiazo",Texas,,47.0,2009,2014,NYG,ACT,,,5,HB,,2009.0,7.0,211.0,LA
16475,00-0026788,Cyril Obiozor,Cyril,Cyril,Obiozor,,,,OBI474619,,ObioCy99,,,13006.0,32004f42-4947-4619-371b-939ed4f703d1,1986-09-26,LB,LB,,,76.0,249.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdnwrr9vqru9gis5moxp",Texas A&M,,52.0,2009,2010,ARI,ACT,,,1,,,,,,
16516,00-0037270,Otito Ogbonnia,Otito,Otito,Ogbonnia,O.Ogbonnia,Otito,,OGB573735,54625.0,OgboOt00,82450.0,10205.0,4367210.0,32004f47-4257-3735-a031-5296cebb42ec,2000-08-25,DL,DT,DL,INTERIOR_LINE,76.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyayc8mxpu7grfwqgzrz",UCLA,Pacific Twelve Conference,91.0,2022,2026,DAL,ACT,ACT,Active,5,DI,A,2022.0,5.0,160.0,LAC
16472,00-0041109,Namdi Obiazor,Namdi,Namdi,Obiazor,N.Obiazor,Namdi,,OBI207644,62834.0,ObiaNa00,157288.0,13356.0,5085407.0,32004f42-4920-7644-54de-e5dba7d843fb,2002-04-19,LB,LB,LB,MLB,75.0,229.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjc4ip1xcg0rse1lrn1n",TCU; Iowa Western CC,Big Twelve Conference,48.0,2026,2026,NE,ACT,ACT,Active,0,,,2026.0,6.0,212.0,NE
16467,OAT332232,Brad Oates,Brad,Robert,Oates,,,,OAT332232,,OateBr20,,,,32004f41-5433-2232-87c9-0c6d33505e73,1953-09-30,OL,OT,,,78.0,274.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eytsyglj6jtvmhncyosr",BYU; Duke,,0.0,1976,1981,GB,ACT,,,5,,,1976.0,3.0,83.0,LA
16432,00-0012261,Neil O'Donnell,Neil,Neil,O'Donnell,,,,ODO638910,,ODonNe00,,,127.0,32004f44-4f63-8910-238a-b14536eb2c6e,1966-07-03,QB,QB,,,75.0,228.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eljm5vck5j6fltkfftxd",Maryland,,14.0,1990,2003,TEN,ACT,,,14,,,1990.0,3.0,70.0,PIT
16434,ODO766692,Neil O'Donoghue,Neil,Cornelius,O'Donoghue,,,,ODO766692,,odononei02,,,,32004f44-4f76-6692-e634-332b3a62266e,1953-01-18,SPEC,K,,,78.0,208.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8otc1abrohtb7ryhakt",Auburn; St. Bernard,,0.0,1977,1985,LA,ACT,,,9,,,1977.0,5.0,127.0,BUF
16435,00-0012263,Matt O'Dwyer,Matt,Matthew,O'Dwyer,,,,ODW771256,,ODwyMa20,,,778.0,32004f44-5777-1256-9172-122f7078532e,1972-09-01,OL,G,,,77.0,305.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c1zjv0asjagccwgipk8l",Northwestern,,72.0,1995,2004,TB,ACT,,,10,,,1995.0,2.0,33.0,NYJ
16436,00-0012264,Pat O'Hara,Pat,Patrick,O'Hara,,,,OHA543073,,,,,,32004f48-4154-3073-d7a9-0cf161b2dfa7,1968-09-27,QB,QB,,,75.0,205.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mihad6z1d4xyqpdy7rxf",USC,,0.0,1991,1992,LAC,ACT,,,1,,,,,,
16437,00-0019276,Shaun O'Hara,Shaun,Shaun,O'Hara,,,,OHA555073,,OHarSh20,,,2410.0,32004f48-4155-5073-4a01-0f6eaa0726bb,1977-06-23,OL,C,,,75.0,303.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ffkqd3nchmw4wrjtpzgx",Rutgers,,60.0,2000,2010,NYG,ACT,,,11,,,,,,
16440,OMA332232,Jim O'Malley,Jim,James,O'Malley,,,,OMA332232,,OMalJi20,,,,32004f4d-4133-2232-91d2-1096c1383552,1951-07-24,LB,LB,,,73.0,229.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gn9i0mmxeeyigtjhldkk",Notre Dame,,0.0,1974,1975,DEN,ACT,,,3,,,,,,
16441,00-0032932,Ryan O'Malley,Ryan,Ryan,O'Malley,R.O'Malley,Ryan,,OMA631240,43985.0,OMalRy00,11359.0,5401.0,2566643.0,32004f4d-4163-1240-e85a-d05da04095ce,1993-07-24,TE,TE,,,78.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lstzhns4buupqplyyafj",Penn,,81.0,2016,2017,NYG,ACT,CUT,,2,TE,A,,,,
16442,00-0019323,Andre O'Neal,Andre,Andre,O'Neal,,,,ONE035327,,ONeaAn20,,,2449.0,32004f4e-4503-5327-86c4-1381bbe7ddc1,1975-12-12,LB,LB,,,73.0,234.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fe5l4idw5u3wqgo3qsjn",Marshall,,96.0,2000,2001,MIN,ACT,,,2,,,,,,
16443,00-0012271,Brian O'Neal,Brian,Brian,O'Neal,,,,ONE047327,,ONeaBr20,,,7717.0,32004f4e-4504-7327-88b0-a84416c89de1,1970-02-25,RB,RB,,,72.0,233.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzgftwiknuglsrlezizx",Penn State,,0.0,1994,1995,SF,ACT,,,2,,,,,,
16444,ONE059327,Calvin O'Neal,Calvin,Calvin,O'Neal,,,,ONE059327,,ONeaCa20,,,,32004f4e-4505-9327-fae2-d99a695152f8,1954-10-06,LB,LB,,,73.0,235.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v9h12jeb5jdmu2lhuhsf",Michigan,,0.0,1978,1978,BAL,ACT,,,1,,,1977.0,6.0,163.0,BAL
16446,00-0019645,Deltha O'Neal,Deltha,Deltha,O'Neal,,,,ONE066742,25324.0,ONeaDe00,593.0,,2146.0,32004f4e-4506-6742-f5a1-e152698db478,1977-01-30,DB,CB,,,71.0,194.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v0ekwgbe5mw8lqre30rk",California,,21.0,2000,2008,NE,ACT,,,9,,,2000.0,1.0,15.0,DEN
16447,ONE118654,Ken O'Neal,Ken,Kenneth,O'Neal,,,,ONE118654,,ONeaKe20,,,,32004f4e-4511-8654-9b16-030e5310d0cb,1962-06-21,TE,TE,,,75.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qank3h70hozptpflsecj",Idaho State; Chabot College,,0.0,1987,1987,NO,ACT,,,1,,,,,,
16448,00-0012274,Leslie O'Neal,Leslie,Leslie,O'Neal,,,,ONE177981,,ONeaLe00,,,214.0,32004f4e-4517-7981-5c65-807d135b7553,1964-05-07,DL,DE,,,76.0,281.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f9xhblgx81wtbevy7hgq",Oklahoma State,,91.0,1986,1999,KC,ACT,,,14,,,1986.0,1.0,8.0,LAC
16453,ONE415289,Ed O'Neil,Ed,Edward,O'Neil,,,,ONE415289,,ONeiEd20,,,,32004f4e-4541-5289-cbef-b75fcee684b7,1952-09-08,LB,ILB,,,75.0,236.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uvnwlkuxbflbpvdqon1l",Penn State,,0.0,1974,1980,GB,ACT,,,7,,,1974.0,1.0,8.0,DET
16455,00-0034158,Brian O'Neill,Brian,Brian,O'Neill,B.O'Neill,Brian,,ONE620476,46131.0,ONeiBr00,46854.0,6947.0,3123954.0,32004f4e-4562-0476-e88b-0b8007f92aac,1995-09-15,OL,OT,OL,T,79.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ouq6nfernugv9rsvcvwm",Pittsburgh,Atlantic Coast Conference,75.0,2018,2026,MIN,ACT,ACT,Active,9,T,A,2018.0,2.0,62.0,MIN
16456,00-0041459,Eric O'Neill,Eric,Eric,O'Neill,E.O'Neill,Eric,,ONE627691,63904.0,ONeiEr00,155869.0,13690.0,4892218.0,32004f4e-4562-7691-9e23-5249dd68638c,2003-07-01,DL,DE,DL,EDGE,74.0,250.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kexejxtyigkg6wiopccu",Rutgers; Long Island Coll.-Brooklyn,Big Ten Conference,66.0,2026,2026,DET,ACT,ACT,Active,0,ED,A,,,,
16457,00-0012282,Kevin O'Neill,Kevin,Kevin,O'Neill,,,,ONE635097,,ONeiKe21,,,1702.0,32004f4e-4563-5097-5c29-610adf3dc5aa,1975-04-14,LB,LB,,,74.0,249.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zkiamtfzzdcvu2praffj",Bowling Green,,59.0,1998,2000,DET,ACT,,,3,,,,,,
16458,00-0012283,Pat O'Neill,Pat,Patrick,O'Neill,,,,ONE641347,,oneilpat01,,,7616.0,32004f4e-4564-1347-2230-e9e63348dc69,1971-02-09,SPEC,P,,,73.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nakydaezpqivfsq4wi8u",Syracuse,,0.0,1994,1995,NYJ,ACT,,,2,,,1994.0,5.0,135.0,NE
16460,OSH415291,Terry O'Shea,Terry,Terence,O'Shea,,,,OSH415291,,OSheTe20,,,,32004f53-4841-5291-c059-3e1783a0468c,1966-12-03,TE,TE,,,76.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tugjuwbezbsmarjot8us",California (PA),,0.0,1989,1990,PIT,ACT,,,2,,,,,,
16461,OST401790,Dwayne O'Steen,Dwayne,Dwayne,O'Steen,,,,OST401790,,OSteDw20,,,,32004f53-5440-1790-b46e-984c2a88420c,1954-12-20,DB,DB,,,73.0,193.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hqaplh4ns5juszensbyx",San Jose State; California,,0.0,1978,1984,GB,ACT,,,6,,,,,,
16463,00-0021296,J.T. O'Sullivan,J.T.,John,O'Sullivan,,,,OSU394627,27319.0,OSulJ.00,1169.0,,3745.0,32004f53-5539-4627-7cfe-857718ef586c,1979-08-25,QB,QB,,,74.0,232.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzmdiwnczp3heq92f9cy",UC Davis,,13.0,2002,2010,LV,ACT,,,8,,,2002.0,6.0,186.0,NO
16464,00-0040061,Connor O'Toole,Connor,Connor,O'Toole,C.O'Toole,Connor,,OTO311468,58507.0,OTooCo00,131869.0,12943.0,4605491.0,32004f54-4f31-1468-d7c2-bb3c65370c75,2002-08-27,LB,LB,DL,EDGE,75.0,248.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fvrgej9ifncdq5ywexos",Utah,Big Twelve Conference,57.0,2025,2026,SEA,ACT,ACT,Active,2,ED,A,,,,
16466,00-0012288,Bart Oates,Bart,Bart,Oates,,,,OAT166116,,OateBa00,,,7165.0,32004f41-5416-6116-e07e-93c9d481f158,1958-12-16,OL,C,,,75.0,275.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tkogealjhzswalqyrpqx",BYU,,0.0,1985,1995,SF,ACT,,,11,,,,,,
16468,OAT498348,Victor Oatis,Victor,Victor,Oatis,,,,OAT498348,,OatiVi20,,,,32004f41-5449-8348-aaf7-61018fab248b,1959-01-06,WR,WR,,,72.0,177.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/woxk0jbfpqrjymyozkjp",Northwestern State (LA),,0.0,1983,1983,BAL,ACT,,,0,,,1983.0,6.0,147.0,PHI
16429,ODE332232,Stu O'Dell,Stu,Stewart,O'Dell,,,,ODE332232,,ODelSt20,,,,32004f44-4533-2232-10e0-0a1e0ad410d7,1951-11-27,LB,LB,,,73.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmnm5apc5efsemf1k1el",Indiana,,0.0,1974,1978,BAL,ACT,,,4,,,1974.0,13.0,332.0,WAS
16520,00-0012321,Jeff Ogden,Jeff,Jeffrey,Ogden,,,,OGD392041,,OgdeJe00,,,1690.0,32004f47-4439-2041-7ec3-68020ca6cb70,1975-02-22,WR,WR,,,72.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nypmwtlayslqawwqg71u",Eastern Washington,,87.0,1998,2002,BAL,ACT,,,5,,,,,,
16522,00-0022106,Marques Ogden,Marques,Marques,Ogden,,,,OGD407791,28229.0,,,,3999848.0,32004f47-4440-7791-6624-b678996bde0f,1980-11-15,OL,OT,,,77.0,300.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wnpumyppynrgbzhtoqa3",Howard,,77.0,2003,2003,JAX,ACT,,,0,,,,,,
16581,00-0039818,Kitan Oladapo,Kitan,Olakitan,Oladapo,K.Oladapo,Kitan,,OLA083057,57290.0,OladKi00,83349.0,11777.0,4374037.0,32004f4c-4108-3057-70ea-361ad5227056,2000-10-10,DB,SAF,DB,HIGH_SAFETY,74.0,216.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3bxo3bhxk2d601bhjs0",Oregon State,Pacific Twelve Conference,27.0,2024,2026,GB,ACT,ACT,Active,3,S,A,2024.0,5.0,169.0,GB
16582,00-0040752,Oluwafemi Oladejo,Oluwafemi,Oluwafemi,Oladejo,O.Oladejo,Oluwafemi,,OLA110743,58257.0,OladOl00,146302.0,12412.0,4876057.0,32004f4c-4111-0743-ebea-7a82f613f94c,2003-09-29,DL,DE,DL,EDGE,75.0,259.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/koxindt0qvandhu8otrf",UCLA; California,Big Ten Conference,7.0,2025,2026,TEN,ACT,ACT,Active,2,ED,A,2025.0,2.0,52.0,TEN
16584,00-0037324,Chris Oladokun,Chris,Chris,Oladokun,C.Oladokun,Chris,,OLA166115,54706.0,OladCh00,40364.0,10286.0,4044111.0,32004f4c-4116-6115-589e-83a6fa13f48d,1997-09-03,QB,QB,QB,QB,73.0,213.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qnyw1gqkqfll2lxppzlv",South Dakota State,Missouri Valley Football Conference,19.0,2022,2025,KC,ACT,RES,R/Injured,1,QB,A,2022.0,7.0,241.0,PIT
16588,OLA415291,Cliff Olander,Cliff,Clifford,Olander,,,,OLA415291,,OlanCl00,,,,32004f4c-4141-5291-b3f2-8e032bdd3cbc,1955-05-15,QB,QB,,,77.0,191.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yg2adbkvexc1jr0xe7vv",New Mexico State,,0.0,1977,1981,NYG,ACT,,,3,,,1977.0,5.0,128.0,LAC
16591,00-0037239,Chris Olave,Chris,Chris,Olave,C.Olave,Chris,,OLA659325,54476.0,OlavCh00,84355.0,10056.0,4361370.0,32004f4c-4165-9325-c259-01a521202e2f,2000-06-27,WR,WR,WR,WR,72.0,187.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o",Ohio State,Big Ten Conference,12.0,2022,2026,NO,ACT,ACT,Active,5,WR,A,2022.0,1.0,11.0,NO
16594,OLD118654,Bob Olderman,Bob,Robert,Olderman,,,,OLD118654,,OldeBo20,,,,32004f4c-4411-8654-a43a-44e2618c03fe,1962-06-05,OL,G,,,77.0,262.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fmdfzxsqbic0hfjk5pjp",Virginia,,0.0,1985,1985,KC,ACT,,,0,,,1985.0,4.0,99.0,KC
16595,00-0012340,Chris Oldham,Chris,Christopher,Oldham,,,,OLD355962,,OldhCh20,,,264.0,32004f4c-4435-5962-f4f2-a85aff8da693,1968-10-26,DB,DB,,,69.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j72ce3d8t3iau1n9qubg",Oregon,,28.0,1990,2001,NO,ACT,,,11,,,1990.0,4.0,105.0,DET
16596,OLD474616,Ray Oldham,Ray,Donnil,Oldham,,,,OLD474616,,OldhRa20,,,,32004f4c-4447-4616-1fea-c188f9658b0b,1951-02-23,DB,S,,,72.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lekwyz4xcziqdxbsee2n",Middle Tennessee State,,0.0,1974,1982,DET,ACT,,,10,,,,,,
16597,OLD711924,Bill Olds,Bill,William,Olds,,,,OLD711924,,OldsBi00,,,,32004f4c-4471-1924-7f99-39efcb9e0bad,1951-02-21,RB,RB,,,73.0,224.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/py8np2w2fg6vqbrjy2pa",Nebraska,,0.0,1974,1976,PHI,ACT,,,4,,,,,,
16598,OLE332232,John Olenchalk,John,John,Olenchalk,,,,OLE332232,,OlenJo20,,,,32004f4c-4533-2232-bf69-bf0ce9e2bdc1,1955-11-27,LB,LB,,,72.0,228.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uiytcghlmgxtcyi0idht",Stanford,,0.0,1981,1982,KC,ACT,,,1,,,,,,
16601,00-0022694,Shane Olivea,Shane,Shane,Olivea,,,,OLI195248,29162.0,OlivSh20,1925.0,,5734.0,32004f4c-4919-5248-2c8d-5966385bd206,1981-10-07,OL,OT,,,76.0,312.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oazelbxstvp1myy8yqau",Ohio State,,70.0,2004,2007,LAC,ACT,,,4,,,2004.0,7.0,209.0,LAC
