,Player,Team,Sal,Opp,Pos,Ceiling,Floor,Own,Week
57,Najee Harris,LAC,5000,KC,RB,12.8,0.9,0,1
58,Christian Kirk,HOU,4700,LAR,WR,17.5,4.8,0,1
59,James Proche II,TEN,3000,DEN,WR,,,0,1
60,Nick Westbrook,MIA,3500,IND,WR,11.8,1.5,0,1
61,Kenny Pickett,LV,4900,NE,QB,,,0,1
62,Nikko Remigio,KC,3000,LAC,WR,4.8,,0,1
63,Jarrett Stidham,DEN,4300,TEN,QB,,,0,1
64,Connor Bazelak,TB,4000,ATL,QB,,,0,1
65,Mo Alie-Cox,IND,2500,MIA,TE,5.5,,0,1
66,A.J. Brown,PHI,6900,DAL,WR,26.9,10.3,0,1
67,Lil'Jordan Humphrey,NYG,3000,WAS,WR,,,0,1
68,T.J. Hockenson,MIN,4600,CHI,TE,,,0,1
69,Trayveon Williams,CLE,4700,CIN,RB,,,0,1
70,Tyler Warren,IND,4400,MIA,TE,15.8,4.8,0,1
71,Dallas Goedert,PHI,4000,DAL,TE,17.8,5.7,0,1
72,Adonai Mitchell,IND,3400,MIA,WR,10.9,1.2,0,1
73,Alec Ingold,MIA,4000,IND,RB,6.9,,0,1
74,Stephen Carlson,CHI,2500,MIN,TE,,,0,1
75,Nyheim Miller-Hines,LAC,4000,KC,RB,,,0,1
76,Matthew Stafford,LAR,5900,HOU,QB,26.7,11.2,0,1
77,Tyree Jackson,WAS,2500,NYG,TE,,,0,1
78,Alex Bachman,LV,3000,NE,WR,,,0,1
79,Ronnie Rivers,LAR,4000,HOU,RB,,,0,1
80,Davante Adams,LAR,6100,HOU,WR,24.4,8.5,0,1
81,Kirk Cousins,ATL,4600,TB,QB,,,0,1
82,William Wagner,CIN,2500,CLE,TE,,,0,1
83,Trey McBride,ARI,6200,NO,TE,24.9,9.9,0,1
84,Isaiah Davis,NYJ,4000,PIT,RB,8.5,,0,1
85,Tyrod Taylor,NYJ,4400,PIT,QB,,,0,1
86,Skylar Thompson,PIT,4000,NYJ,QB,,,0,1
87,Jarquez Hunter,LAR,4500,HOU,RB,8.4,-0.1,0,1
88,Sam Darnold,SEA,5300,SF,QB,24.6,8.1,0,1
89,Jamal Agnew,ATL,3000,TB,WR,4.6,,0,1
90,Brian Robinson,SF,5800,SEA,RB,11.5,0.6,0,1
91,KaVontae Turpin,DAL,3300,PHI,WR,12.5,1.5,0,1
92,Donald Parham Jr.,PIT,2500,NYJ,TE,,,0,1
93,Jalen Cropper,DAL,3000,PHI,WR,,,0,1
94,Malachi Corley,CLE,3000,CIN,WR,,,0,1
95,Josh Johnson,WAS,4000,NYG,QB,,,0,1
96,Mike Evans,TB,6600,ATL,WR,27.3,10.4,0,1
97,Zach Wilson,MIA,4300,IND,QB,,,0,1
98,Parker Washington,JAX,3800,CAR,WR,10.1,0.8,0,1
99,Sterling Shepard,TB,3100,ATL,WR,14.1,2.8,0,1
100,Shane Buechele,BUF,4000,BAL,QB,,,0,1
101,Olamide Zaccheaus,CHI,3600,MIN,WR,,,0,1
102,Bailey Zappe,CLE,4000,CIN,QB,,,0,1
103,Mac Jones,SF,4200,SEA,QB,,,0,1
104,Andre Baccellia,ARI,3000,NO,WR,,,0,1
105,Jonnu Smith,PIT,4200,NYJ,TE,12.9,3.3,0,1
106,Christian McCaffrey,SF,7300,SEA,RB,31.9,9.8,0,1
107,Joe Mixon,HOU,6200,LAR,RB,,,0,1
108,Trent Taylor,SF,3000,SEA,WR,,,0,1
109,Eric Saubert,SEA,2500,SF,TE,4.6,,0,1
110,Jalen Royals,KC,3200,LAC,WR,,,0,1
111,Austin Ekeler,WAS,4800,NYG,RB,17.2,3.3,0,1
112,Terrace Marshall,PHI,3200,DAL,WR,,,0,1
113,Cooper Rush,BAL,4000,BUF,QB,,,0,1
114,Jerry Jeudy,CLE,5400,CIN,WR,22.5,7.5,0,1
115,Cam Ward,TEN,5000,DEN,QB,24.0,6.8,0,1
116,Jeshaun Jones,MIN,3000,CHI,WR,,,0,1
117,Greg Dulcich,MIA,2500,IND,TE,,,0,1
118,Mack Hollins,NE,3100,LV,WR,7.7,,0,1
119,Aaron Rodgers,PIT,5200,NYJ,QB,23.1,8.5,0,1
120,Darius Slayton,NYG,4000,WAS,WR,13.2,2.4,0,1
121,Tua Tagovailoa,MIA,5800,IND,QB,28.2,12.5,0,1
122,Sam Ehlinger,DEN,4000,TEN,QB,,,0,1
123,Xavier Restrepo,TEN,3300,DEN,WR,,,0,1
124,James Winchester,KC,2500,LAC,TE,,,0,1
125,C.J. Stroud,HOU,6000,LAR,QB,27.3,10.7,0,1
126,British Brooks,HOU,4000,LAR,RB,4.9,,0,1
127,Max Hurleman,PIT,4000,NYJ,RB,,,0,1
128,JuJu Smith-Schuster,KC,3500,LAC,WR,14.8,3.3,0,1
129,Andy Dalton,CAR,4700,JAX,QB,,,0,1
130,Alvin Kamara,NO,6300,ARI,RB,28.0,9.1,0,1
131,Josh Oliver,MIN,2500,CHI,TE,,,0,1
132,Johnny Mundt,JAX,2500,CAR,TE,4.8,,0,1
133,Trey Benson,ARI,4600,NO,RB,11.1,1.0,0,1
134,Blake Corum,LAR,4500,HOU,RB,10.0,0.4,0,1
135,Elijah Cooks,PHI,3000,DAL,WR,,,0,1
136,Rasheen Ali,BAL,4000,BUF,RB,4.9,,0,1
137,Brennan Presley,LAR,3000,HOU,WR,,,0,1
138,Brock Lampe,NE,4000,LV,RB,,,0,1
139,Tyrell Shavers,BUF,3000,BAL,WR,4.3,,0,1
140,Jordan Addison,MIN,5800,CHI,WR,,,0,1
141,Ben Sims,GB,2500,DET,TE,4.1,,0,1
142,A.J. Henning,MIA,3000,IND,WR,,,0,1
143,Chig Okonkwo,TEN,3400,DEN,TE,12.8,3.4,0,1
144,Christopher Brooks,GB,4000,DET,RB,10.6,0.1,0,1
145,Kalel Mullings,TEN,4000,DEN,RB,5.7,,0,1
146,Colson Yankoff,WAS,2500,NYG,TE,3.7,,0,1
147,Ja'Quinden Jackson,JAX,4000,CAR,RB,,,0,1
148,Jameis Winston,NYG,4500,WAS,QB,,,0,1
149,Rachaad White,TB,5100,ATL,RB,14.7,1.9,0,1
150,Brandon Aiyuk,SF,4800,SEA,WR,,,0,1
151,Da'Quan Felton,NYG,3000,WAS,WR,,,0,1
152,Kye Robichaux,DET,4000,GB,RB,,,0,1
153,Javonte Williams,DAL,5500,PHI,RB,15.2,2.1,0,1
154,Tyson Bagent,CHI,4000,MIN,QB,,,0,1
155,Tanner Hudson,CIN,2500,CLE,TE,4.5,,0,1
156,Braelon Allen,NYJ,4900,PIT,RB,13.6,1.6,0,1
157,Anthony Richardson Sr.,IND,5100,MIA,QB,,,0,1
158,Jaxon Smith-Njigba,SEA,5800,SF,WR,23.8,8.0,0,1
159,Bijan Robinson,ATL,8000,TB,RB,30.3,9.3,0,1
160,Josh Downs,IND,4600,MIA,WR,20.8,6.8,0,1
161,Amari Cooper,LV,4600,NE,WR,8.2,0.1,0,1
162,Quintin Morris,JAX,2500,CAR,TE,,,0,1
163,Dylan Laube,LV,4000,NE,RB,5.0,,0,1
164,Cade Otton,TB,3800,ATL,TE,,,0,1
165,Juwan Johnson,NO,3300,ARI,TE,11.8,2.8,0,1
166,Tory Horton,SEA,3000,SF,WR,12.3,2.0,0,1
167,Tutu Atwell,LAR,3600,HOU,WR,11.1,1.4,0,1
168,Jimmy Horn,CAR,3000,JAX,WR,8.0,,0,1
169,Jahmyr Gibbs,DET,7700,GB,RB,26.2,7.4,0,1
170,Jermaine Burton,CIN,3100,CLE,WR,5.2,,0,1
171,Blake Whiteheart,CLE,2500,CIN,TE,5.0,,0,1
172,Bryson Nesbit,MIN,2500,CHI,TE,,,0,1
173,Arian Smith,NYJ,3000,PIT,WR,7.6,,0,1
174,Brevyn Spann-Ford,DAL,2500,PHI,TE,4.8,,0,1
175,Gee Scott Jr.,NE,2500,LV,TE,,,0,1
176,Efton Chism III,NE,3000,LV,WR,,,0,1
177,Stephen Gosnell,BUF,3000,BAL,WR,,,0,1
178,Luke Musgrave,GB,2800,DET,TE,8.3,0.7,0,1
179,Lew Nichols,PIT,4000,NYJ,RB,,,0,1
180,Mitchell Evans,CAR,2500,JAX,TE,6.1,,0,1
181,Zach Horton,DET,2500,GB,TE,,,0,1
182,Jake Bobo,SEA,3000,SF,WR,6.1,,0,1
183,Chandler Brayboy,JAX,3000,CAR,WR,,,0,1
184,Kayshon Boutte,NE,3800,LV,WR,8.4,0.1,0,1
185,Elijah Moore,BUF,3500,BAL,WR,7.5,,0,1
186,Nathan Carter,ATL,4000,TB,RB,8.2,-0.1,0,1
187,Jordan Mason,MIN,5300,CHI,RB,,,0,1
188,Tank Dell,HOU,3200,LAR,WR,,,0,1
189,Jalen Coker,CAR,3700,JAX,WR,,,0,1
190,Ladd McConkey,LAC,6700,KC,WR,25.5,9.6,0,1
191,Bub Means,NO,3100,ARI,WR,,,0,1
192,Tejhaun Palmer,ARI,3000,NO,WR,,,0,1
193,Tank Bigsby,JAX,4600,CAR,RB,15.4,2.3,0,1
194,Kyle Williams,NE,4300,LV,WR,9.3,0.4,0,1
195,Dominic Lovett,DET,3000,GB,WR,4.3,,0,1
196,Jaylin Noel,HOU,3800,LAR,WR,10.3,1.0,0,1
197,Tip Reiman,ARI,2500,NO,TE,4.6,,0,1
198,Jaxson Dart,NYG,4500,WAS,QB,,,0,1
199,Cade Stover,HOU,2600,LAR,TE,7.8,0.5,0,1
200,Dee Eskridge,MIA,3000,IND,WR,5.1,,0,1
201,Bhayshul Tuten,JAX,4400,CAR,RB,12.3,0.6,0,1
202,Jermaine Terry II,NYG,2500,WAS,TE,,,0,1
203,Kyren Williams,LAR,6500,HOU,RB,23.7,5.4,0,1
204,JaQuae Jackson,LAC,3000,KC,WR,,,0,1
205,Brandon Smith,NYJ,3000,PIT,WR,,,0,1
206,Dennis Houston,TB,3000,ATL,WR,,,0,1
207,Jake Haener,NO,4800,ARI,QB,,,0,1
208,Pat Freiermuth,PIT,3200,NYJ,TE,13.5,3.5,0,1
209,Tahj Brooks,CIN,4000,CLE,RB,6.9,,0,1
210,Baker Mayfield,TB,6600,ATL,QB,30.6,12.2,0,1
211,Dylan Drummond,ATL,3000,TB,WR,,,0,1
212,Michael Penix Jr.,ATL,5600,TB,QB,27.0,10.8,0,1
213,Rondale Moore,MIN,3000,CHI,WR,,,0,1
214,Alec Pierce,IND,4400,MIA,WR,14.4,3.0,0,1
215,Moliki Matavao,NO,2500,ARI,TE,5.7,,0,1
216,Chris Olave,NO,5100,ARI,WR,22.7,7.8,0,1
217,Zay Flowers,BAL,5700,BUF,WR,24.4,8.4,0,1
218,Michael Mayer,LV,3000,NE,TE,9.7,1.5,0,1
219,Tyjae Spears,TEN,4700,DEN,RB,,,0,1
220,Zaire Mitchell-Paden,BAL,2500,BUF,TE,,,0,1
221,Saints,NO,2400,ARI,DST,10.9,0.2,0,1
222,Ihmir Smith-Marsette,NYG,3000,WAS,WR,,,0,1
223,Seahawks,SEA,2500,SF,DST,11.5,0.8,0,1
224,Ja'Lynn Polk,NE,3000,LV,WR,,,0,1
225,Will Howard,PIT,4000,NYJ,QB,,,0,1
226,Travis Hunter,JAX,5000,CAR,WR,20.3,5.9,0,1
227,Isaiah Likely,BAL,3400,BUF,TE,,,0,1
228,Hunter Dekkers,NO,4000,ARI,QB,,,0,1
229,Will Levis,TEN,4000,DEN,QB,,,0,1
230,Shedrick Jackson,LV,3000,NE,WR,,,0,1
231,Tyler Scott,IND,3000,MIA,WR,,,0,1
232,Brady Cook,NYJ,4000,PIT,QB,,,0,1
233,Sam Hartman,WAS,4000,NYG,QB,,,0,1
234,Chimere Dike,TEN,3000,DEN,WR,6.9,,0,1
235,Emory Jones,ATL,4000,TB,QB,,,0,1
236,Maximilian Mang,IND,2500,MIA,TE,,,0,1
237,Ahmani Marshall,CLE,4000,CIN,RB,,,0,1
238,Wesley Steiner,SEA,4000,SF,RB,,,0,1
239,Robbie Chosen,SF,3000,SEA,WR,,,0,1
240,Payne Durham,TB,2600,ATL,TE,10.8,2.0,0,1
241,Jayden Higgins,HOU,4800,LAR,WR,14.7,3.3,0,1
242,Jameson Williams,DET,5500,GB,WR,19.7,5.9,0,1
243,Omarion Hampton,LAC,6000,KC,RB,19.2,3.8,0,1
244,Cody White,SEA,3000,SF,WR,4.3,,0,1
245,Brian Thomas,JAX,6800,CAR,WR,28.4,10.5,0,1
246,Keaontay Ingram,KC,4000,LAC,RB,,,0,1
247,Princeton Fant,DAL,2500,PHI,TE,,,0,1
248,Giants,NYG,2300,WAS,DST,11.1,0.9,0,1
249,Buccaneers,TB,3000,ATL,DST,11.5,0.9,0,1
250,Isaac TeSlaa,DET,3100,GB,WR,10.1,0.9,0,1
251,Jimmy Holiday,KC,3000,LAC,WR,,,0,1
252,Johnny Wilson,PHI,3000,DAL,WR,,,0,1
253,Matthew Golden,GB,4900,DET,WR,19.1,5.2,0,1
254,David Martin-Robinson,TEN,2500,DEN,TE,4.5,,0,1
255,Sean Tucker,TB,4000,ATL,RB,9.1,,0,1
256,Thomas Yassmin,LAC,2500,KC,TE,,,0,1
257,Jake Ferguson,DAL,3600,PHI,TE,13.9,4.1,0,1
258,Jared Wiley,KC,2500,LAC,TE,4.0,,0,1
259,Matt Landers,TEN,3000,DEN,WR,,,0,1
260,Justin Fields,NYJ,5400,PIT,QB,28.0,8.6,0,1
261,Charlie Jones,CIN,3000,CLE,WR,5.5,,0,1
262,Patrick Mahomes,KC,5900,LAC,QB,30.8,12.4,0,1
263,Dont'e Thornton,LV,3600,NE,WR,12.2,2.0,0,1
264,Konata Mumpfield,LAR,3000,HOU,WR,5.4,,0,1
265,Carson Steele,KC,4000,LAC,RB,,,0,1
266,Raiders,LV,2600,NE,DST,11.9,1.0,0,1
267,Jets,NYJ,2800,PIT,DST,12.6,1.5,0,1
268,Savion Williams,GB,3300,DET,WR,6.6,,0,1
269,Commanders,WAS,3700,NYG,DST,14.3,3.0,0,1
270,Simi Fehoko,ARI,3000,NO,WR,,,0,1
271,Keon Coleman,BUF,5200,BAL,WR,15.7,3.1,0,1
272,Lucas Scott,BAL,4000,BUF,RB,,,0,1
273,Ben Sinnott,WAS,2500,NYG,TE,5.9,,0,1
274,Carter Runyon,LV,2500,NE,TE,,,0,1
275,Salvon Ahmed,IND,4000,MIA,RB,,,0,1
276,Bryce Oliver,TEN,3000,DEN,WR,4.3,,0,1
277,Dak Prescott,DAL,6000,PHI,QB,26.1,9.3,0,1
278,Brandon Allen,TEN,4000,DEN,QB,,,0,1
279,Jacardia Wright,SEA,4000,SF,RB,,,0,1
280,Terrell Jennings,NE,4000,LV,RB,,,0,1
281,AJ Barner,SEA,2800,SF,TE,9.5,1.3,0,1
282,Dameon Pierce,HOU,4700,LAR,RB,10.1,0.6,0,1
283,Kenny McIntosh,SEA,4400,SF,RB,,,0,1
284,Seth Henigan,JAX,4000,CAR,QB,,,0,1
285,Thomas Odukoya,TEN,2500,DEN,TE,,,0,1
286,John Rhys Plumlee,SEA,3000,SF,WR,,,0,1
287,Darnell Washington,PIT,2500,NYJ,TE,4.4,,0,1
288,A.T. Perry,DEN,3000,TEN,WR,,,0,1
289,Roman Wilson,PIT,3000,NYJ,WR,9.6,0.6,0,1
290,Jalen Hurts,PHI,7100,DAL,QB,39.0,11.9,0,1
291,Cedrick Wilson,NO,3000,ARI,WR,,,0,1
292,Jordan Whittington,LAR,3100,HOU,WR,9.2,0.5,0,1
293,Jalin Conyers,MIA,2500,IND,TE,,,0,1
294,Jalin Hyatt,NYG,3000,WAS,WR,5.9,,0,1
295,Dante Miller,NYG,4000,WAS,RB,,,0,1
296,D'Ernest Johnson,BAL,4000,BUF,RB,,,0,1
297,LeQuint Allen,JAX,4000,CAR,RB,5.0,,0,1
298,Damien Martinez,SEA,4000,SF,RB,,,0,1
299,Troy Franklin,DEN,3500,TEN,WR,11.2,1.2,0,1
300,Cowboys,DAL,2500,PHI,DST,10.7,0.6,0,1
301,Ty Chandler,MIN,4000,CHI,RB,,,0,1
302,Mark Redman,LAR,2500,HOU,TE,,,0,1
303,LaJohntay Wester,BAL,3000,BUF,WR,4.3,,0,1
304,Sam Howell,PHI,4000,DAL,QB,,,0,1
305,Panthers,CAR,2400,JAX,DST,10.8,0.2,0,1
306,Jayden Reed,GB,5400,DET,WR,17.7,4.3,0,1
307,Isiah Pacheco,KC,5700,LAC,RB,16.1,2.2,0,1
308,Chris Collier,LV,4000,NE,RB,,,0,1
309,Kendall Milton,CIN,4000,CLE,RB,,,0,1
310,Jonathon Brooks,CAR,4000,JAX,RB,,,0,1
311,Junior Bergen,SF,3000,SEA,WR,,,0,1
312,Bryce Young,CAR,5700,JAX,QB,27.4,9.6,0,1
313,Devin Culp,TB,2500,ATL,TE,6.7,,0,1
314,Ryan Miller,TB,3000,ATL,WR,6.3,,0,1
315,Pat Bryant,DEN,3400,TEN,WR,10.2,0.9,0,1
316,Nick Nash,ATL,3000,TB,WR,,,0,1
317,Jonathan Mingo,DAL,3100,PHI,WR,,,0,1
318,DeMario Douglas,NE,4200,LV,WR,16.1,4.2,0,1
319,Tanner Conner,MIA,2500,IND,TE,5.5,,0,1
320,Ja'Marr Chase,CIN,8100,CLE,WR,31.3,12.5,0,1
321,Miles Sanders,DAL,4500,PHI,RB,11.3,0.6,0,1
322,Jake Tonges,SF,2500,SEA,TE,3.7,,0,1
323,Hassan Haskins,LAC,4000,KC,RB,7.2,,0,1
324,Evan Engram,DEN,4500,TEN,TE,14.7,4.4,0,1
325,Rashod Bateman,BAL,4700,BUF,WR,16.4,3.9,0,1
326,Stetson Bennett IV,LAR,4000,HOU,QB,,,0,1
327,Julian Hill,MIA,2700,IND,TE,6.0,,0,1
328,Andrei Iosivas,CIN,3700,CLE,WR,11.5,1.5,0,1
329,Kaden Davis,CLE,3000,CIN,WR,,,0,1
330,Jeremy Ruckert,NYJ,2500,PIT,TE,5.9,,0,1
331,Tyler Allgeier,ATL,5000,TB,RB,12.3,1.1,0,1
332,Case Keenum,CHI,4000,MIN,QB,,,0,1
333,Broncos,DEN,3800,TEN,DST,15.7,3.2,0,1
334,Carter Bradley,SF,4000,SEA,QB,,,0,1
335,Cedric Tillman,CLE,4400,CIN,WR,17.0,4.4,0,1
336,Rams,LAR,3400,HOU,DST,12.8,1.6,0,1
337,Jalen Brooks,DAL,3000,PHI,WR,,,0,1
338,Eagles,PHI,3500,DAL,DST,15.1,2.5,0,1
339,Jaguars,JAX,3200,CAR,DST,11.9,1.1,0,1
340,Daniel Bellinger,NYG,2500,WAS,TE,5.1,,0,1
341,Jahdae Walker,CHI,3000,MIN,WR,,,0,1
342,Tre' Harris,LAC,3300,KC,WR,,,0,1
343,Derius Davis,LAC,3000,KC,WR,5.8,-0.1,0,1
344,Ke'Shawn Williams,PIT,3000,NYJ,WR,,,0,1
345,Deneric Prince,NE,4000,LV,RB,,,0,1
346,Hal Presley III,KC,3000,LAC,WR,,,0,1
347,Amon-Ra St. Brown,DET,7100,GB,WR,23.9,8.3,0,1
348,Dyami Brown,JAX,4300,CAR,WR,13.0,2.3,0,1
349,Ricky White III,SEA,3000,SF,WR,,,0,1
350,Xavier Gipson,NYJ,3000,PIT,WR,4.9,,0,1
351,Ian Thomas,LV,2500,NE,TE,4.3,,0,1
352,Noah Gray,KC,2700,LAC,TE,11.3,2.4,0,1
353,Tahj Washington,MIA,3000,IND,WR,4.6,,0,1
354,Mike Gesicki,CIN,3600,CLE,TE,12.7,3.2,0,1
355,Jordan Moore,CIN,3000,CLE,WR,,,0,1
356,Casey Washington,ATL,3000,TB,WR,5.4,,0,1
357,Brevin Jordan,HOU,2500,LAR,TE,,,0,1
358,Phil Mafah,DAL,4200,PHI,RB,,,0,1
359,Drake London,ATL,6500,TB,WR,27.9,10.6,0,1
360,Brock Purdy,SF,6200,SEA,QB,30.2,10.9,0,1
361,Luke Schoonmaker,DAL,2600,PHI,TE,6.9,0.2,0,1
362,Tyler Huntley,BAL,4000,BUF,QB,,,0,1
363,Patrick Herbert,JAX,2500,CAR,TE,,,0,1
364,Caleb Lohner,DEN,2500,TEN,TE,,,0,1
365,Tom Kennedy,DET,3000,GB,WR,,,0,1
366,James Cook,BUF,6200,BAL,RB,22.9,5.1,0,1
367,Tanner McKee,PHI,4100,DAL,QB,,,0,1
368,Jack Bech,LV,4100,NE,WR,7.3,,0,1
369,Craig Reynolds,DET,4000,GB,RB,4.9,,0,1
370,Ashton Dulin,IND,3000,MIA,WR,5.4,,0,1
371,Reggie Gilliam,BUF,4000,BAL,RB,4.9,,0,1
372,Mason Pline,NO,2500,ARI,TE,,,0,1
373,Cardinals,ARI,3500,NO,DST,14.1,2.8,0,1
374,Ravens,BAL,2700,BUF,DST,10.8,0.3,0,1
375,Garrett Greene,TB,3000,ATL,WR,,,0,1
376,Kyle Pitts,ATL,4300,TB,TE,14.2,3.8,0,1
377,Jason Brownlee,KC,3000,LAC,WR,4.3,,0,1
378,Darren Waller,MIA,3500,IND,TE,13.6,3.7,0,1
379,Zay Jones,ARI,3300,NO,WR,9.3,0.4,0,1
380,Brayden Willis,SF,2500,SEA,TE,,,0,1
381,Theo Johnson,NYG,3000,WAS,TE,11.5,2.7,0,1
382,John Jiles,NE,3000,LV,WR,,,0,1
383,Oronde Gadsden,LAC,2700,KC,TE,,,0,1
384,Dorian Singer,JAX,3000,CAR,WR,,,0,1
385,Jaylin Lane,WAS,3700,NYG,WR,9.5,0.5,0,1
386,Rico Dowdle,CAR,5000,JAX,RB,13.4,1.3,0,1
387,Mitchell Tinsley,CIN,3000,CLE,WR,5.5,,0,1
388,Traeshon Holden,DAL,3000,PHI,WR,,,0,1
389,CeeDee Lamb,DAL,7900,PHI,WR,26.1,9.0,0,1
390,Rhamondre Stevenson,NE,5400,LV,RB,16.5,2.3,0,1
391,Kylen Granson,PHI,2500,DAL,TE,4.0,,0,1
392,Israel Abanikanda,GB,4000,DET,RB,,,0,1
393,Kameron Johnson,TB,3000,ATL,WR,4.3,,0,1
394,Charlie Woerner,ATL,2500,TB,TE,5.3,,0,1
395,George Pickens,DAL,5800,PHI,WR,22.5,7.2,0,1
396,DJ Giddens,IND,4800,MIA,RB,6.7,,0,1
397,Sione Vaki,DET,4000,GB,RB,4.9,,0,1
398,Isaiah Williams,CIN,3000,CLE,WR,,,0,1
399,Jaylen Warren,PIT,5200,NYJ,RB,21.4,4.9,0,1
400,Scott Matlock,LAC,4000,KC,RB,5.2,,0,1
401,Roschon Johnson,CHI,4200,MIN,RB,,,0,1
402,Dillon Gabriel,CLE,4900,CIN,QB,,,0,1
403,Woody Marks,HOU,5200,LAR,RB,9.3,0.1,0,1
404,Joshua Palmer,BUF,4500,BAL,WR,14.3,2.6,0,1
405,Romeo Doubs,GB,4300,DET,WR,16.1,3.7,0,1
406,Tai Felton,MIN,3200,CHI,WR,,,0,1
407,Colston Loveland,CHI,3800,MIN,TE,,,0,1
408,Luther Burden,CHI,4600,MIN,WR,,,0,1
409,CJ Ham,MIN,4000,CHI,RB,,,0,1
410,Lucas Krull,DEN,2500,TEN,TE,4.1,,0,1
411,Van Jefferson,TEN,3400,DEN,WR,9.2,0.4,0,1
412,Terrance Ferguson,LAR,3200,HOU,TE,7.7,0.4,0,1
413,Falcons,ATL,2600,TB,DST,10.6,0.4,0,1
414,Lions,DET,2700,GB,DST,10.3,0.1,0,1
415,Dolphins,MIA,2700,IND,DST,11.5,0.7,0,1
416,Jaydon Blue,DAL,5000,PHI,RB,12.2,0.8,0,1
417,Quentin Johnston,LAC,4300,KC,WR,13.4,2.4,0,1
418,Steelers,PIT,3300,NYJ,DST,14.6,3.1,0,1
419,Xavier Smith,LAR,3000,HOU,WR,4.3,,0,1
420,Tyler Kahmann,IND,3000,MIA,WR,,,0,1
421,Ashton Jeanty,LV,7000,NE,RB,26.8,7.3,0,1
